YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2019,2019,MD,Maryland,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,,%,Age-adjusted Prevalence,28.6,28.6,,,27.1,30.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-76.60926011099963 39.29058096400047),24,NPAW,NPW14,,AGEADJPREV,RACE,WHT,,,,
2021,2021,WA,Washington,BRFSS,Alcohol,Binge drinking frequency among adults who binge drink,,Number,Crude Median,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-120.47001078999972 47.52227862900048),53,ALC,ALC04,,CRDMEDN,RACE,BLK,,,,
2020,2020,NM,New Mexico,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,886.9,886.9,,,857.3,916.4,Age,Age >=65,,,,,POINT (-106.24058098499967 34.52088095200048),35,CVD,CVD09,,CRDRATE,AGE,AGE65P,,,,
2021,2021,CT,Connecticut,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),9,DIA,DIA04,,AGEADJRATE,RACE,ASN,,,,
2019,2019,AK,Alaska,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Age-adjusted Prevalence,39.8,39.8,,,31.3,48.9,Sex,Female,,,,,POINT (-147.72205903599973 64.84507995700051),2,IMM,IMM03,,AGEADJPREV,SEX,SEXF,,,,
2016,2020,MS,Mississippi,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,24.3,24.3,,,23.1,25.5,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),28,CAN,CAN05,,AGEADJRATE,OVERALL,OVR,,,,
2019,2019,KS,Kansas,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),20,TOB,TOB04,,AGEADJPREV,RACE,HAPI,,,,
2020,2020,WV,West Virginia,PRAMS,Social Determinants of Health,Health insurance coverage after pregnancy among women with a recent live birth,,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-80.71264013499967 38.66551020200046),54,SDOH,SDH11,,CRDPREV,RACE,BLK,,,,
2022,2022,RI,Rhode Island,BRFSS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,SDOH,SDH09,,CRDPREV,RACE,MRC,,,,
2021,2021,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,27.4,27.4,,,25.5,29.3,Sex,Female,,,,,POINT (-157.85774940299973 21.304850435000446),15,CVD,CVD01,,CRDPREV,SEX,SEXF,,,,
2021,2021,NV,Nevada,ACS,Social Determinants of Health,Unemployment rate among people 16 years and older in the labor force,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),32,SDOH,SDH08,,CRDPREV,RACE,AIAN,,,,
2021,2021,NC,North Carolina,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,,%,Crude Prevalence,24.9,24.9,,,22.8,27.1,Sex,Female,,,,,POINT (-79.15925046299964 35.466220975000454),37,NPAW,NPW06,,CRDPREV,SEX,SEXF,,,,
2021,2021,ND,North Dakota,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),38,ART,ART01,,CRDPREV,RACE,ASN,,,,
2019,2019,WY,Wyoming,NVSS,Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,254.4,254.4,,,227.5,281.3,Sex,Female,,,,,POINT (-108.10983035299967 43.23554134300048),56,COPD,COPD06,,AGEADJRATE,SEX,SEXF,,,,
2021,2021,OH,Ohio,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,424.0,424.0,,,,,Age,Age 0-44,,,,,POINT (-82.40426005599966 40.06021014100048),39,DIA,DIA03,,NMBR,AGE,AGE0_44,,,,
2019,2019,IL,Illinois,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,,%,Age-adjusted Prevalence,24.8,24.8,,,14.9,38.2,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),17,CVD,CVD04,,AGEADJPREV,RACE,MRC,,,,
2022,2022,NJ,New Jersey,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Crude Prevalence,30.2,30.2,,,26.2,34.5,Age,Age 45-64,,,,,POINT (-74.27369128799967 40.13057004800049),34,IMM,IMM03,,CRDPREV,AGE,AGE4564,,,,
2021,2021,SC,South Carolina,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,25.1,25.1,,,23.4,26.8,Sex,Female,,,,,POINT (-81.04537120699968 33.998821303000454),45,MEN,MEN02,,CRDPREV,SEX,SEXF,,,,
2021,2021,OH,Ohio,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-82.40426005599966 40.06021014100048),39,DIA,DIA03,,NMBR,RACE,MRC,,,,
2019,2019,IL,Illinois,YRBSS,Alcohol,Binge drinking prevalence among high school students,,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),17,ALC,ALC07,,CRDPREV,RACE,HAPI,,,,
2019,2019,NJ,New Jersey,BRFSS,Arthritis,Activity limitation due to arthritis among adults with arthritis,,%,Age-adjusted Prevalence,,,*,No data available,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,ART,ART02,,AGEADJPREV,RACE,HAPI,,,,
2019,2019,FL,Florida,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,Number,Number,39089.0,39089.0,,,,,Age,Age >=65,,,,,POINT (-81.92896053899966 28.932040377000476),12,CVD,CVD09,,NMBR,AGE,AGE65P,,,,
2022,2022,US,United States,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,23.1,23.1,,,20.9,25.4,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,,59,TOB,TOB04,,CRDPREV,RACE,AIAN,,,,
2019,2019,VI,Virgin Islands,YRBSS,Alcohol,Binge drinking prevalence among high school students,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-64.896335 18.335765),78,ALC,ALC07,,CRDPREV,RACE,AIAN,,,,
2019,2019,ID,Idaho,YRBSS,Tobacco,Current electronic vapor product use among high school students,,%,Crude Prevalence,21.5,21.5,,,18.9,24.4,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),16,TOB,TOB02,,CRDPREV,OVERALL,OVR,,,,
2018,2019,OH,Ohio,NSCH,Sleep,Short sleep duration among children aged 4 months to 14 years,,%,Crude Prevalence,35.9,35.9,,,30.2,41.9,Sex,Male,,,,,POINT (-82.40426005599966 40.06021014100048),39,SLEP,SLP01,,CRDPREV,SEX,SEXM,,,,
2021,2021,MO,Missouri,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-92.56630005299968 38.635790776000476),29,DIA,DIA01,,CRDPREV,RACE,ASN,,,,
2020,2020,OR,Oregon,BRFSS,Oral Health,Six or more teeth lost among adults aged 65 years and older,,%,Age-adjusted Prevalence,28.0,28.0,,,25.1,31.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-120.15503132599969 44.56744942400047),41,ORH,ORH02,,AGEADJPREV,RACE,WHT,,,,
2019,2019,SC,South Carolina,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,Number,Number,51.0,51.0,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),45,DIA,DIA04,,NMBR,RACE,BLK,,,,
2021,2021,DE,Delaware,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-75.57774116799965 39.008830667000495),10,COPD,COPD04,,NMBR,RACE,AIAN,,,,
2021,2021,MA,Massachusetts,ACS,Social Determinants of Health,Living below 150% of the poverty threshold among all people,,%,Crude Prevalence,23.0,23.0,,,20.1,26.0,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-72.08269067499964 42.27687047000046),25,SDOH,SDH01,,CRDPREV,RACE,BLK,,,,
2019,2019,KY,Kentucky,BRFSS,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,,%,Age-adjusted Prevalence,29.9,29.9,,,18.5,44.6,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,COPD,COPD01,,AGEADJPREV,RACE,MRC,,,,
2020,2021,KY,Kentucky,NSCH,Sleep,Short sleep duration among children aged 4 months to 14 years,,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,SLEP,SLP01,,CRDPREV,RACE,HAPI,,,,
2021,2021,WV,West Virginia,YRBSS,Alcohol,Alcohol use among high school students,,%,Crude Prevalence,21.7,21.7,,,17.2,27.0,Grade,Grade 10,,,,,POINT (-80.71264013499967 38.66551020200046),54,ALC,ALC01,,CRDPREV,GRADE,GRD10,,,,
2015,2019,NY,New York,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,147.6,147.6,,,146.8,148.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-75.54397042699964 42.82700103200045),36,CAN,CAN08,,AGEADJRATE,RACE,WHT,,,,
2021,2021,MN,Minnesota,BRFSS,Cardiovascular Disease,Taking medicine for high cholesterol among adults,,%,Age-adjusted Prevalence,24.0,24.0,,,20.2,28.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-94.79420050299967 46.35564873600049),27,CVD,CVD04,,AGEADJPREV,RACE,BLK,,,,
2022,2022,LA,Louisiana,BRFSS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,,%,Age-adjusted Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Sex,Female,,,,,POINT (-92.44568007099969 31.31266064400046),22,SDOH,SDH09,,AGEADJPREV,SEX,SEXF,,,,
2019,2019,CO,Colorado,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,21.2,21.2,,,14.1,30.6,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-106.13361092099967 38.843840757000464),8,MEN,MEN02,,CRDPREV,RACE,MRC,,,,
2019,2019,WA,Washington,BRFSS,Social Determinants of Health,Lack of health insurance among adults aged 18-64 years,,%,Crude Prevalence,12.6,12.6,,,8.3,18.6,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-120.47001078999972 47.52227862900048),53,SDOH,SDH09,,CRDPREV,RACE,BLK,,,,
2019,2019,NM,New Mexico,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,33.3,33.3,,,31.0,35.5,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),35,CVD,CVD07,,AGEADJRATE,OVERALL,OVR,,,,
2020,2020,ME,Maine,BRFSS,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,Hispanic,,,,,POINT (-68.98503133599962 45.254228894000505),23,COPD,COPD01,,AGEADJPREV,RACE,HIS,,,,
2019,2019,MO,Missouri,ACS,Social Determinants of Health,Living below 150% of the poverty threshold among all people,,%,Crude Prevalence,31.2,31.2,,,27.2,35.5,Race/Ethnicity,Hispanic,,,,,POINT (-92.56630005299968 38.635790776000476),29,SDOH,SDH01,,CRDPREV,RACE,HIS,,,,
2019,2019,VT,Vermont,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),50,DIA,DIA04,,AGEADJRATE,OVERALL,OVR,,,,
2021,2021,FL,Florida,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,ART,ART01,,CRDPREV,RACE,MRC,,,,
2020,2020,SD,South Dakota,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude 75th percentile,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,ALC,ALC05,,CRD75TH,RACE,ASN,,,,
2019,2019,MO,Missouri,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude 75th percentile,6.4,6.4,,,5.4,7.8,Age,Age >=65,,,,,POINT (-92.56630005299968 38.635790776000476),29,ALC,ALC05,,CRD75TH,AGE,AGE65P,,,,
2020,2020,SC,South Carolina,BRFSS,Asthma,Current asthma among adults,,%,Age-adjusted Prevalence,10.5,10.5,,,8.0,13.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),45,AST,AST02,,AGEADJPREV,RACE,BLK,,,,
2020,2020,NC,North Carolina,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,Number,Number,4401.0,4401.0,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),37,CVD,CVD09,,NMBR,RACE,BLK,,,,
2019,2019,NC,North Carolina,BRFSS,Mental Health,Average mentally unhealthy days among adults,,Number,Crude Mean,0.0,0.0,##,Estimate is 0.0% because no cases were reported with this condition,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-79.15925046299964 35.466220975000454),37,MEN,MEN04,,CRDMEAN,RACE,MRC,,,,
2019,2019,IN,Indiana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Consumed fruit less than one time daily among adults,,%,Crude Prevalence,38.7,38.7,,,36.8,40.6,Sex,Female,,,,,POINT (-86.14996019399968 39.766910452000445),18,NPAW,NPW02,,CRDPREV,SEX,SEXF,,,,
2021,2022,AR,Arkansas,BRFSS,Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline,,%,Crude Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Age,Age >=65,,,,,POINT (-92.27449074299966 34.74865012400045),5,CHC,CHC02,,CRDPREV,AGE,AGE65P,,,,
2020,2020,FL,Florida,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,"cases per 100,000",Crude Rate,437.4,437.4,,,431.4,443.4,Age,Age >=65,,,,,POINT (-81.92896053899966 28.932040377000476),12,DIA,DIA03,,CRDRATE,AGE,AGE65P,,,,
2019,2019,NH,New Hampshire,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-71.50036091999965 43.65595011300047),33,DIA,DIA04,,AGEADJRATE,RACE,HIS,,,,
2016,2020,OK,Oklahoma,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,194.2,194.2,,,187.1,201.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-97.52107021399968 35.47203135600046),40,CAN,CAN08,,AGEADJRATE,RACE,AIAN,,,,
2020,2020,WI,Wisconsin,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Crude Rate,21.68,21.68,,,21.11,22.25,Sex,Male,,,,,POINT (-89.81637074199966 44.39319117400049),55,CVD,CVD06,,CRDRATE,SEX,SEXM,,,,
2019,2019,RI,Rhode Island,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-71.52247031399963 41.70828019300046),44,IMM,IMM03,,CRDPREV,RACE,ASN,,,,
2015,2019,IN,Indiana,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,14.9,14.9,,,14.5,15.3,Overall,Overall,,,,,POINT (-86.14996019399968 39.766910452000445),18,CAN,CAN01,,AGEADJRATE,OVERALL,OVR,,,,
2019,2019,KY,Kentucky,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude Median,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,ALC,ALC05,,CRDMEDN,RACE,AIAN,,,,
2019,2019,TX,Texas,YRBSS,"Nutrition, Physical Activity, and Weight Status",Met aerobic physical activity guideline among high school students,,%,Crude Prevalence,17.6,17.6,,,6.8,38.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-99.42677020599967 31.827240407000488),48,NPAW,NPW08,,CRDPREV,RACE,MRC,,,,
2021,2021,UT,Utah,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude 75th percentile,9.3,9.3,,,8.0,9.6,Age,Age 18-44,,,,,POINT (-111.58713063499971 39.360700171000474),49,ALC,ALC05,,CRD75TH,AGE,AGE1844,,,,
2021,2021,KS,Kansas,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-98.20078122699965 38.34774030000045),20,CVD,CVD08,,AGEADJRATE,RACE,AIAN,,,,
2019,2019,DC,District of Columbia,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,37.2,37.2,,,33.7,40.9,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-77.036871 38.907192),11,DIS,DIS01,,CRDPREV,RACE,BLK,,,,
2021,2021,FL,Florida,BRFSS,Arthritis,Received health care provider counseling for physical activity among adults with arthritis,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,ART,ART06,,CRDPREV,RACE,HAPI,,,,
2021,2021,MN,Minnesota,BRFSS,Chronic Obstructive Pulmonary Disease,Chronic obstructive pulmonary disease among adults,,%,Age-adjusted Prevalence,9.3,9.3,,,5.5,15.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-94.79420050299967 46.35564873600049),27,COPD,COPD01,,AGEADJPREV,RACE,MRC,,,,
2021,2022,UT,Utah,BRFSS,Cognitive Health and Caregiving,Provided care for a friend or family member in the past month among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,CHC,CHC04,,AGEADJPREV,RACE,BLK,,,,
2021,2021,AL,Alabama,BRFSS,Arthritis,Arthritis among adults,,%,Age-adjusted Prevalence,26.7,26.7,,,24.3,29.2,Sex,Male,,,,,POINT (-86.63186076199969 32.84057112200048),1,ART,ART01,,AGEADJPREV,SEX,SEXM,,,,
2020,2020,NY,New York,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,Number,Number,632.0,632.0,,,,,Sex,Female,,,,,POINT (-75.54397042699964 42.82700103200045),36,ALC,ALC09,,NMBR,SEX,SEXF,,,,
2020,2020,NJ,New Jersey,BRFSS,Health Status,Average recent physically unhealthy days among adults,,Number,Age-adjusted Mean,2.9,2.9,,,2.4,3.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-74.27369128799967 40.13057004800049),34,HEA,HEA02,,AGEADJMEAN,RACE,BLK,,,,
2021,2022,ID,Idaho,BRFSS,Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline,,%,Crude Prevalence,45.7,45.7,,,39.9,51.7,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),16,CHC,CHC02,,CRDPREV,OVERALL,OVR,,,,
2019,2019,ME,Maine,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Crude Prevalence,36.2,36.2,,,18.6,58.4,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-68.98503133599962 45.254228894000505),23,HEA,HEA01,,CRDPREV,RACE,AIAN,,,,
2021,2021,TN,Tennessee,BRFSS,Arthritis,Work limitation due to arthritis among adults aged 18-64 years with arthritis,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-85.77449091399967 35.68094058000048),47,ART,ART04,,AGEADJPREV,RACE,AIAN,,,,
